id	crop_file	xmin	ymin	xmax	ymax	text	prob	source_image
0	word_000.jpg	95	7	180	85	O	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
1	word_001.jpg	203	13	394	86	matko	0.114533	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
2	word_002.jpg	424	14	577	108	moja	0.685296	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
3	word_003.jpg	629	27	762	98	niech	0.286530	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
4	word_004.jpg	771	36	846	105	się	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
5	word_005.jpg	858	19	994	94	tobie	0.025410	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
6	word_006.jpg	1010	10	1211	98	zdaje	0.165563	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
7	word_007.jpg	124	88	209	157	Że	0.254385	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
8	word_008.jpg	225	98	350	192	rysy	0.418015	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
9	word_009.jpg	371	107	519	182	moje	0.179637	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
10	word_010.jpg	580	96	736	190	ożyły	0.580025	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
11	word_011.jpg	771	111	886	174	na	0.262727	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
12	word_012.jpg	894	95	1103	168	chwile	0.312276	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
13	word_013.jpg	137	158	226	241	że	0.398692	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
14	word_014.jpg	241	181	349	240	ten	0.120993	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
15	word_015.jpg	359	196	414	237	co	0.649468	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
16	word_016.jpg	449	170	645	237	kochał	0.110749	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
17	word_017.jpg	695	176	807	262	był	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
18	word_018.jpg	812	176	1030	272	kochany	0.221575	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
19	word_019.jpg	1042	185	1175	279	tyle	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
20	word_020.jpg	147	253	284	352	Twój	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro2.jpg
