id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	16	87	67	112	Kochany	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
1	word_001.png	23	71	83	95	Stawiarski	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
2	word_002.png	62	93	110	115	bądź	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
3	word_003.png	83	75	170	101	łaskaw	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
4	word_004.png	111	94	135	119	odwiedź	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
5	word_005.png	134	97	180	120	mnie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
6	word_006.png	177	77	214	102	bo	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
7	word_007.png	183	102	233	119	jestem	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
8	word_008.png	215	75	244	107	mocno	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
9	word_009.png	16	113	48	138	chory	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
10	word_010.png	54	115	99	137	zdaje	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
11	word_011.png	98	122	117	137	się	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
12	word_012.png	116	121	137	138	że	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
13	word_013.png	135	123	157	138	na	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
14	word_014.png	160	118	201	142	grypę	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
15	word_015.png	28	138	102	161	Mieszkam	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
16	word_016.png	105	141	132	163	Rue	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
17	word_017.png	135	140	154	163	de	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
18	word_018.png	156	141	181	167	la	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
19	word_019.png	179	143	216	168	Ville	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
20	word_020.png	16	153	92	181	1'Eveque	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
21	word_021.png	96	160	122	185	N0	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
22	word_022.png	126	166	148	185	10	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
23	word_023.png	150	164	176	183	bis	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
24	word_024.png	71	185	140	213	Juliusz	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
25	word_025.png	144	187	214	224	Słowacki	1w44	0.000000	0.188383	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
26	word_026.png	16	243	125	274	Poniedziałek	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Slowacki\Slowacki3.jpg
