word_000 Moje
word_001 Życie
word_002 Żebym
word_003 był
word_004 zdrowszy
word_005 to
word_006 bym
word_007 do
word_008 Londynu
word_009 się
word_010 jutro
word_011 Cię
word_012 uściskać
word_013 pojechał
word_014 Może
word_015 się
word_016 już
word_017 nie
word_018 tak
word_019 prędko
word_020 bliżej
word_021 zobaczymy
word_022 Jesteśmy
word_023 stare
word_024 cymbały
word_025 na
word_026 których
word_027 czas
word_028 i
word_029 okoliczności
word_030 swoje
word_031 tryliki
word_032 nieszczęsne
word_033 powygrywały
word_034 Tak
word_035 stare
word_036 cymbały
word_037 chociaż
word_038 się
word_039 będziesz
word_040 bronił
word_041 od
word_042 tego
word_043 towarzystwa
word_044 To
word_045 nie
word_046 ubliża
word_047 piękności
word_048 ani
word_049 zacności
word_050 la
word_051 table
word_052 d
word_053 harmonie
word_054 doskonała
word_055 tylko
word_056 się
word_057 struny
word_058 pozrywały
word_059 niektóre
word_060 kołki
word_061 powyskakiwały
word_062 Jedyna
word_063 bieda
word_064 to
word_065 żeśmy
word_066 sławnego
word_067 lutnisty
word_068 jakiegoś
word_069 Straduarego
word_070 sui
word_071 generis
word_072 roboty
word_073 którego
word_074 już
word_075 nie
word_076 ma
word_077 żeby
word_078 nas
word_079 zreperował
